北京电信,#genre#
城市剧场,http://1.203.184.153:4000/udp/225.1.8.227:4120
军旅剧场,http://1.203.184.153:4000/udp/225.1.8.228:4120
古装剧场,http://1.203.184.153:4000/udp/225.1.8.229:4120
音乐现场,http://1.203.184.153:4000/udp/225.1.8.230:4120
地理,http://1.203.184.153:4000/udp/225.1.8.231:4120
美妆,http://1.203.184.153:4000/udp/225.1.8.232:4120
美人,http://1.203.184.153:4000/udp/225.1.8.233:4120
精选,http://1.203.184.153:4000/udp/225.1.8.234:4120
解密,http://1.203.184.153:4000/udp/225.1.8.235:4120
军事,http://1.203.184.153:4000/udp/225.1.8.236:4120
国学,http://1.203.184.153:4000/udp/225.1.8.237:4120
戏曲,http://1.203.184.153:4000/udp/225.1.8.238:4120
早教,http://1.203.184.153:4000/udp/225.1.8.239:4120
动画,http://1.203.184.153:4000/udp/225.1.8.240:4120
好学生,http://1.203.184.153:4000/udp/225.1.8.241:4120
鉴赏,http://1.203.184.153:4000/udp/225.1.8.242:4120
墨宝,http://1.203.184.153:4000/udp/225.1.8.243:4120
光影,http://1.203.184.153:4000/udp/225.1.8.244:4120
台球,http://1.203.184.153:4000/udp/225.1.8.245:4120
爱生活,http://1.203.184.153:4000/udp/225.1.8.246:4120
武术,http://1.203.184.153:4000/udp/225.1.8.247:4120
高网,http://1.203.184.153:4000/udp/225.1.8.248:4120
足球,http://1.203.184.153:4000/udp/225.1.8.249:4120
武侠剧场,http://1.203.184.153:4000/udp/225.1.8.250:4120
喜剧影院,http://1.203.184.153:4000/udp/225.1.8.251:4120
动作影院,http://1.203.184.153:4000/udp/225.1.8.252:4120
家庭影院,http://1.203.184.153:4000/udp/225.1.8.253:4120
星影,http://1.203.184.153:4000/udp/225.1.8.254:4120

北京联通,#genre#
BRTV北京卫视HD,http://114.245.110.101:8888/rtp/239.3.1.241:8000
BRTV新闻HD,http://114.245.110.101:8888/rtp/239.3.1.159:8000
BRTV影视HD,http://114.245.110.101:8888/rtp/239.3.1.158:8000
BRTV文艺HD,http://114.245.110.101:8888/rtp/239.3.1.242:8000
BRTV财经HD,http://114.245.110.101:8888/rtp/239.3.1.116:8000
BRTV生活HD,http://114.245.110.101:8888/rtp/239.3.1.117:8000
BRTV青年HD,http://114.245.110.101:8888/# rtp/239.3.1.118:8000
BRTV纪实科教HD,http://114.245.110.101:8888/rtp/239.3.1.115:8000
BRTV卡酷少儿HD,http://114.245.110.101:8888/rtp/239.3.1.189:8000
BRTV冬奥纪实HD,http://114.245.110.101:8888/# rtp/239.3.1.243:8000
BRTV冬奥纪实[HDR],http://114.245.110.101:8888/# rtp/239.3.1.120:8000
BRTV冬奥纪实[超清],http://114.245.110.101:8888/# rtp/239.3.1.121:8000
BRTV体育休闲[超清],http://114.245.110.101:8888/rtp/239.3.1.243:8000
BTV国际频道,http://114.245.110.101:8888/rtp/239.3.1.235:8000
CCTV-1 HD,http://114.245.110.101:8888/rtp/239.3.1.129:8008
CCTV-2 HD,http://114.245.110.101:8888/rtp/239.3.1.60:8084
CCTV-3 HD,http://114.245.110.101:8888/rtp/239.3.1.172:8001
CCTV-4 HD,http://114.245.110.101:8888/rtp/239.3.1.105:8092
CCTV-5 HD,http://114.245.110.101:8888/rtp/239.3.1.173:8001
CCTV-5+ HD,http://114.245.110.101:8888/rtp/239.3.1.130:8004
CCTV-6 HD,http://114.245.110.101:8888/rtp/239.3.1.174:8001
CCTV-7 HD,http://114.245.110.101:8888/rtp/239.3.1.61:8104
CCTV-8 HD,http://114.245.110.101:8888/rtp/239.3.1.175:8001
CCTV-9 HD,http://114.245.110.101:8888/rtp/239.3.1.62:8112
CCTV-10 HD,http://114.245.110.101:8888/rtp/239.3.1.63:8116
CCTV-11 HD,http://114.245.110.101:8888/rtp/239.3.1.152:8120
CCTV-12 HD,http://114.245.110.101:8888/rtp/239.3.1.64:8124
CCTV-13 HD,http://114.245.110.101:8888/rtp/239.3.1.124:8128
CCTV-14 HD,http://114.245.110.101:8888/rtp/239.3.1.65:8132
CCTV-15 HD,http://114.245.110.101:8888/rtp/239.3.1.153:8136
CCTV-16 奥林匹克[HDR],http://114.245.110.101:8888/rtp/239.3.1.183:8001
CCTV-16 奥林匹克HD,http://114.245.110.101:8888/rtp/239.3.1.184:8001
CCTV-17 HD,http://114.245.110.101:8888/rtp/239.3.1.151:8144
湖南卫视HD,http://114.245.110.101:8888/rtp/239.3.1.132:8012
东方卫视HD,http://114.245.110.101:8888/rtp/239.3.1.136:8032
浙江卫视HD,http://114.245.110.101:8888/rtp/239.3.1.137:8036
江苏卫视HD,http://114.245.110.101:8888/rtp/239.3.1.135:8028
深圳卫视HD,http://114.245.110.101:8888/rtp/239.3.1.134:8020
广东卫视HD,http://114.245.110.101:8888/rtp/239.3.1.142:8048
安徽卫视HD,http://114.245.110.101:8888/rtp/239.3.1.211:8064
天津卫视HD,http://114.245.110.101:8888/rtp/239.3.1.141:1234
重庆卫视HD,http://114.245.110.101:8888/rtp/239.3.1.122:8160
山东卫视HD,http://114.245.110.101:8888/rtp/239.3.1.209:8052
黑龙江卫视HD,http://114.245.110.101:8888/rtp/239.3.1.133:8016
河北卫视HD,http://114.245.110.101:8888/rtp/239.3.1.148:8072
辽宁卫视HD,http://114.245.110.101:8888/rtp/239.3.1.210:8056
湖北卫视HD,http://114.245.110.101:8888/rtp/239.3.1.138:8044
吉林卫视HD,http://114.245.110.101:8888/rtp/239.3.1.240:8172
贵州卫视HD,http://114.245.110.101:8888/rtp/239.3.1.149:8076
东南卫视HD,http://114.245.110.101:8888/rtp/239.3.1.156:8148
江西卫视HD,http://114.245.110.101:8888/rtp/239.3.1.123:8164
海南卫视,http://114.245.110.101:8888/rtp/239.3.1.45:8304
云南卫视,http://114.245.110.101:8888/rtp/239.3.1.26:8108
兵团卫视,http://114.245.110.101:8888/rtp/239.3.1.144:4120
